Year,Month,Day,Hour,PM2.5,PM10_mask,Retrospective
2016,3,23,21,71.89,0.73,0
2016,3,23,22,71.99,0.8,0
2016,3,23,23,69.77,0.8,0
2016,3,24,0,69.64,0.79,0
2016,3,24,1,64.15,0.8,0
2016,3,24,2,60.85,0.73,0
2016,3,24,3,60.94,0.73,0
2016,3,24,4,61.88,0.73,0
2016,3,24,5,61.58,0.73,0
2016,3,24,6,65.84,0.73,0
2016,3,24,7,77.29,0.73,0
2016,3,24,8,83.72,0.72,0
2016,3,24,9,84.64,0.72,0
2016,3,24,10,76.76,0.72,0
2016,3,24,11,77.53,0.72,0
2016,3,24,12,74.12,0.72,0
2016,3,24,13,70.74,0.72,0
2016,3,24,14,66.89,0.72,0
2016,3,24,15,65.43,0.72,0
2016,3,24,16,62.86,0.72,0
2016,3,24,17,62.56,0.72,0
2016,3,24,18,64.72,0.77,0
2016,3,24,19,67.07,0.77,0
2016,3,24,20,72.44,0.77,0
2016,3,24,21,70.23,0.94,0
2016,3,24,22,67.9,0.72,0
2016,3,24,23,62.52,0.72,0
2016,3,25,0,63.39,0.72,0
2016,3,25,1,59.85,0.71,0
2016,3,25,2,60.41,0.71,0
2016,3,25,3,54.76,0.72,0
2016,3,25,4,50.24,0.72,0
2016,3,25,5,47.99,0.72,0
2016,3,25,6,51.76,0.72,0
2016,3,25,7,52.33,0.72,0
2016,3,25,8,55.5,0.72,0
2016,3,25,9,48.39,0.72,0
2016,3,25,10,48.05,0.72,0
2016,3,25,11,44.61,0.6,0
2016,3,25,12,48.24,0.62,0
2016,3,25,13,40.76,0.59,0
2016,3,25,14,40.13,0.59,0
2016,3,25,15,39.43,0.58,0
2016,3,25,16,44.7,0.88,0
2016,3,25,17,41.19,0.6,0
2016,3,25,18,42.13,0.74,0
2016,3,25,19,47.87,0.74,0
2016,3,25,20,51.05,0.74,0
2016,3,25,21,46.75,0.79,0
2016,3,25,22,46.24,0.8,0
2016,3,25,23,48.49,0.82,0
2016,3,26,0,46.6,0.82,0
2016,3,26,1,47.47,0.78,0
2016,3,26,2,45.96,0.78,0
2016,3,26,3,45.87,0.78,0
2016,3,26,4,46.45,0.78,0
2016,3,26,5,47.36,0.78,0
2016,3,26,6,47.85,0.78,0
2016,3,26,7,51.61,0.77,0
2016,3,26,8,54.32,0.74,0
2016,3,26,9,55.23,0.74,0
2016,3,26,10,51.58,0.74,0
2016,3,26,11,58.54,0.77,0
2016,3,26,12,52.91,0.77,0
2016,3,26,13,46.65,0.77,0
2016,3,26,14,46.47,0.77,0
2016,3,26,15,48.21,0.77,0
2016,3,26,16,43.27,0.73,0
2016,3,26,17,42.37,0.77,0
2016,3,26,18,44.55,0.78,0
2016,3,26,19,46.83,0.78,0
2016,3,26,20,49.72,0.78,0
2016,3,26,21,53.26,0.82,0
